Day;θ 10;θ 20;θ 30;θ 40;θ 50;θ 60;Sap_Flow;Potenziali PD;Potenziali MD;P;I;Tmin;Tmax;RHmin;RHmax;Rshw dwn;U 2m;ET0;ETa;NDVI;NDWI;
29/03/18;0,26;0,27;0,31;0,19;0,18;0,16;;;;0,25;;6,33;22,5;33,6;99,9;23,75;0,2;3,1;;0,72;0,21;
30/03/18;0,23;0,27;0,31;0,19;0,18;0,16;;;;0,51;;18,44;27,22;19;38;13,41;1,93;4,66;;;;
31/03/18;0,2;0,26;0,31;0,19;0,18;0,16;;;;0;;14,33;23,28;26,6;59,5;20,31;1,57;4,13;;;;
01/04/18;0,18;0,25;0,31;0,19;0,18;0,16;;;;0;;12,33;18,83;33,5;57,2;25,23;3,06;4,78;;0,61;0,14;
02/04/18;0,17;0,24;0,3;0,19;0,18;0,15;;;;0;;3,89;18,44;36,4;94,7;24,09;0,3;2,97;;;;
03/04/18;0,16;0,23;0,3;0,19;0,18;0,15;;;;0;;7,06;25,94;24,7;95,4;19,95;2,13;4,46;;;;
04/04/18;0,16;0,22;0,3;0,19;0,18;0,15;;;;0;;9,78;22,89;33,1;94,2;19,5;0,33;2,93;;;;
05/04/18;0,15;0,22;0,3;0,19;0,18;0,15;;;;0;;8,83;22,06;39,9;99,5;18,44;1,15;3,18;;;;
06/04/18;0,15;0,21;0,29;0,19;0,18;0,15;;;;0;;6,89;20,5;47;97;25,38;0,7;3,5;;0,78;0,29;
07/04/18;0,14;0,2;0,29;0,19;0,18;0,15;;;;0;;4,39;21,56;37;99,9;23,92;0,2;3,17;;;;
08/04/18;0,14;0,2;0,29;0,19;0,18;0,15;;;;8,13;;9,22;26,22;28,9;93,9;20,66;3,62;5,32;;0,63;0,25;
09/04/18;0,14;0,2;0,28;0,19;0,18;0,15;;;;0,25;;13,28;21,78;33,4;88,2;17,41;0,47;2,89;;;;
10/04/18;0,14;0,19;0,28;0,19;0,18;0,15;;;;1,78;;7,17;20,22;45,7;98,9;11,24;0;1,79;;;;
11/04/18;0,14;0,19;0,28;0,19;0,17;0,15;;;;2,54;;13,06;24,78;40,8;93,3;15,46;1,1;3,17;;;;
12/04/18;0,14;0,19;0,28;0,19;0,17;0,15;;;;0,76;;10,78;24,17;47,9;97,5;15,87;0,27;2,67;;;;
13/04/18;0,14;0,19;0,27;0,18;0,17;0,15;;;;0;;8,94;21,17;54,7;99,9;24,45;0,43;3,51;;0,72;0,20;
14/04/18;0,14;0,19;0,27;0,18;0,17;0,15;;;;0;;9,61;22,83;33,1;99,9;6,23;0,48;1,72;;;;
15/04/18;0,17;0,21;0,28;0,18;0,17;0,15;;;;41,66;;14,33;23,22;34,5;95,4;14,89;1,15;3,14;;;;
16/04/18;0,29;0,28;0,33;0,2;0,19;0,16;;;;0;;11,5;22,78;38,6;97,9;23,64;0,6;3,7;;;;
17/04/18;0,28;0,27;0,32;0,2;0,19;0,16;;;;0;;9,33;20,94;59,4;99,2;25,68;0,04;3,64;;;;
18/04/18;0,27;0,27;0,32;0,2;0,19;0,16;;;;1,02;;11,11;20,44;70,8;99,5;15,17;0;2,43;;;;
19/04/18;0,26;0,27;0,32;0,2;0,18;0,16;;;;0,25;;10,39;22,67;48,9;99,9;24,45;0;3,58;;;;
20/04/18;0,25;0,26;0,32;0,2;0,18;0,16;;;;0;;10,5;22,83;53,2;99,8;24,26;0,18;3,66;;;;
21/04/18;0,24;0,26;0,32;0,2;0,18;0,16;;;;0;;11,39;22,72;54;99,9;21,78;0,04;3,34;;;;
22/04/18;0,23;0,26;0,32;0,2;0,18;0,16;;;;1,27;;12,5;24,28;49,9;99,5;27,21;0,3;4,22;;;;
23/04/18;0,22;0,26;0,31;0,2;0,18;0,16;;;;0;;10,78;24,22;43,9;99,1;27,24;0,14;4,09;;0,68;0,11;
24/04/18;0,2;0,25;0,31;0,2;0,18;0,16;;;;0;;9,39;27,5;32,1;95,2;27,12;0,09;4,12;;;;
25/04/18;0,19;0,25;0,31;0,19;0,18;0,16;;;;0;;9,61;25,61;29,5;92,6;26,45;0,22;4,01;;;;
26/04/18;0,18;0,24;0,31;0,19;0,18;0,16;;;;0;;10,22;25,11;39,6;93,1;22,85;0;3,49;;;;
27/04/18;0,17;0,24;0,31;0,19;0,18;0,16;;;;0;;12,72;24,5;48,2;97,6;12,93;0;2,3;;;;
28/04/18;0,16;0,24;0,31;0,19;0,18;0,16;;;;0,25;;9,83;24,22;33,2;99,2;13,73;0,14;2,42;;;;
29/04/18;0,15;0,23;0,31;0,19;0,18;0,16;;;;0;;12,67;28,83;32,1;90,6;25,79;0,32;4,34;;;;
30/04/18;0,14;0,23;0,31;0,19;0,18;0,16;;;;0;;13,17;23,28;56,3;90,6;23,35;0,57;3,84;;;;
01/05/18;0,14;0,23;0,31;0,19;0,18;0,16;;;;0;;12,72;23,67;57,5;98,8;23,19;0,33;3,78;;0,63;0,07;
02/05/18;0,13;0,22;0,31;0,19;0,18;0,16;;;;3,05;;16,67;27,17;39,3;93,9;12,97;2,1;3,78;;;;
03/05/18;0,15;0,22;0,3;0,19;0,18;0,15;;;;7,87;;14,33;19,39;56,9;90,7;10,19;0,27;1,97;;;;
04/05/18;0,19;0,22;0,3;0,19;0,18;0,15;;;;0;;15,22;20,89;57,5;79;14,14;0,88;2,79;;;;
05/05/18;0,2;0,21;0,3;0,19;0,17;0,15;;;;3,81;;11,94;21,72;57,4;96,8;16,53;0,22;2,79;;;;
06/05/18;0,2;0,21;0,3;0,18;0,17;0,15;;;;0;;11,61;21,94;63;98,7;24,67;0,04;3,84;;;;
07/05/18;0,19;0,21;0,3;0,17;0,17;0,15;;;;0;;10,78;21,94;56,6;99,7;27,43;0,16;4,16;;;;
08/05/18;0,18;0,21;0,29;0,17;0,17;0,15;;;;0;;11,78;21,72;55,6;98,7;13,21;0,37;2,42;;;;
09/05/18;0,17;0,21;0,29;0,17;0,16;0,15;;;;0,25;;10;21,56;59,3;99,9;28,39;0,28;4,26;;;;
10/05/18;0,16;0,21;0,29;0,17;0,16;0,15;;;;0;;13,56;22,72;60,5;97,8;23,89;0,47;3,91;;;;
11/05/18;0,15;0,21;0,29;0,17;0,16;0,15;;;;0;;12,72;23,17;61,6;99,5;28,5;0,3;4,52;;0,62;0,08;
12/05/18;0,14;0,2;0,29;0,17;0,17;0,14;;;;0,25;;12,28;23,78;59,6;99,4;28,29;0,05;4,49;;;;
13/05/18;0,14;0,2;0,29;0,17;0,17;0,14;;;;0;;12,56;25,44;53,1;97,6;28,55;0,16;4,64;;0,69;0,09;
14/05/18;0,13;0,2;0,29;0,17;0,17;0,14;;;;0;;12,56;20,22;50,7;87,7;8,92;0,66;2,05;;;;
15/05/18;0,12;0,19;0,29;0,17;0,17;0,14;;;;0;;10,56;21,94;43,1;97,1;16,41;0,09;2,73;;;;
16/05/18;0,11;0,19;0,28;0,16;0,16;0,14;;;;0;;9,33;21,28;42,6;91,6;22,2;0,16;3,41;;0,67;0,15;
17/05/18;0,11;0,19;0,28;0,16;0,16;0,14;;;;0;;10,5;23,44;54,2;98;25,43;0,04;4,01;;;;
18/05/18;0,16;0,19;0,28;0,16;0,16;0,14;;;;12,7;;16,67;23,5;62,1;97,3;10,41;0;2,07;;;;
19/05/18;0,19;0,19;0,28;0,16;0,16;0,15;;;;0;;16,72;22,94;67,7;94,7;18,11;0;3,2;;;;
20/05/18;0,17;0,19;0,28;0,16;0,16;0,15;;;;0;;15,06;25,06;62,8;98,6;20,35;0;3,57;;;;
21/05/18;0,16;0,19;0,28;0,16;0,16;0,15;;;;0;;16,33;26,44;52,8;99,7;18,49;0;3,35;;;;
22/05/18;0,17;0,19;0,28;0,16;0,16;0,15;;;;11,68;;15,89;25,44;56,4;98,2;22,2;0,21;3,92;;;;
23/05/18;0,23;0,21;0,28;0,16;0,16;0,15;;;;0,25;;15,44;25,33;44,5;97,3;24,5;0,47;4,3;;0,68;0,16;
24/05/18;0,21;0,2;0,28;0,16;0,16;0,15;;;;0;;13,11;24,06;59,6;97,9;27,62;0,43;4,55;;;;
25/05/18;0,19;0,2;0,28;0,16;0,16;0,15;;;;0;;13,61;24,22;59,6;98,4;27,42;0;4,51;;;;
