Day;θ 10;θ 20;θ 30;θ 40;θ 50;θ 60;Sap_Flow;Potenziali PD;Potenziali MD;P;I;Tmin;Tmax;RHmin;RHmax;Rshw dwn;U 2m;ET0;NDVI;NDWI
29/03/18;24,85;25,47;24,18;23,88;29,89;35,95;;;;0,25;;6,33;22,5;33,6;99,9;23,75;0,2;3,1;0,83;0,40
30/03/18;23,57;25,18;24,11;23,85;29,9;35,97;;;;0,51;;18,44;27,22;19;38;13,41;1,93;4,66;;
31/03/18;21,74;24,59;23,86;23,76;29,93;36,03;;;;0;;14,33;23,28;26,6;59,5;20,31;1,57;4,13;;
01/04/18;19,87;23,78;23,38;23,51;29,88;36,07;;;;0;;12,33;18,83;33,5;57,2;25,23;3,06;4,78;0,77;0,36
02/04/18;18,47;23,1;22,93;23,21;29,73;36;;;;0;;3,89;18,44;36,4;94,7;24,09;0,3;2,97;;
03/04/18;17,49;22,61;22,57;23;29,61;35,95;;;;0;;7,06;25,94;24,7;95,4;19,95;2,13;4,46;;
04/04/18;16,7;22,15;22,3;22,91;29,63;35,99;;;;0;;9,78;22,89;33,1;94,2;19,5;0,33;2,93;;
05/04/18;16,01;21,64;21,95;22,8;29,61;36,07;;;;0;;8,83;22,06;39,9;99,5;18,44;1,15;3,18;;
06/04/18;15,4;21,08;21,59;22,64;29,52;36,06;;;;0;;6,89;20,5;47;97;25,38;0,7;3,5;0,78;0,36
07/04/18;14,91;20,58;21,2;22,44;29,39;36,02;;;;0;;4,39;21,56;37;99,9;23,92;0,2;3,17;;
08/04/18;14,56;20,18;20,86;22,32;29,3;35,99;;;;8,13;;9,22;26,22;28,9;93,9;20,66;3,62;5,32;0,66;0,33
09/04/18;14,1;19,75;20,5;22,28;29,27;36,07;;;;0,25;;13,28;21,78;33,4;88,2;17,41;0,47;2,89;;
10/04/18;13,66;19,33;20,18;22,13;29,19;36,12;;;;1,78;;7,17;20,22;45,7;98,9;11,24;0;1,79;;
11/04/18;13,75;19,21;19,98;22,01;29,08;36,09;;;;2,54;;13,06;24,78;40,8;93,3;15,46;1,1;3,17;;
12/04/18;13,59;19,1;19,89;21,98;29,07;36,14;;;;0,76;;10,78;24,17;47,9;97,5;15,87;0,27;2,67;;
13/04/18;13,54;18,92;19,54;21,69;28,89;36,13;;;;0;;8,94;21,17;54,7;99,9;24,45;0,43;3,51;0,71;0,22
14/04/18;13,26;18,72;19,41;21,6;28,85;36,15;;;;0;;9,61;22,83;33,1;99,9;6,23;0,48;1,72;;
15/04/18;16,33;20,61;20,64;22,16;29,26;36,23;;;;41,66;;14,33;23,22;34,5;95,4;14,89;1,15;3,14;;
16/04/18;26,88;27,06;25,77;25,47;31,16;36,89;;;;0;;11,5;22,78;38,6;97,9;23,64;0,6;3,7;;
17/04/18;24,75;26,03;25,13;25,16;30,94;37,01;;;;0;;9,33;20,94;59,4;99,2;25,68;0,04;3,64;;
18/04/18;23,91;25,65;24,89;24,99;30,81;37,02;;;;1,02;;11,11;20,44;70,8;99,5;15,17;0;2,43;;
19/04/18;23,37;25,31;24,64;24,79;30,71;37,02;;;;0,25;;10,39;22,67;48,9;99,9;24,45;0;3,58;;
20/04/18;22,68;24,95;24,41;24,67;30,63;37,02;;;;0;;10,5;22,83;53,2;99,8;24,26;0,18;3,66;;
21/04/18;22,06;24,6;24,23;24,61;30,59;37,06;;;;0;;11,39;22,72;54;99,9;21,78;0,04;3,34;;
22/04/18;21,49;24,25;24,01;24,51;30,55;37,1;;;;1,27;;12,5;24,28;49,9;99,5;27,21;0,3;4,22;;
23/04/18;20,87;23,86;23,79;24,43;30,53;37,15;;;;0;;10,78;24,22;43,9;99,1;27,24;0,14;4,09;0,68;0,16
24/04/18;19,94;23,37;23,45;24,31;30,46;37,18;;;;0;;9,39;27,5;32,1;95,2;27,12;0,09;4,12;;
25/04/18;19,18;22,88;23,12;24,15;30,4;37,22;;;;0;;9,61;25,61;29,5;92,6;26,45;0,22;4,01;;
26/04/18;18,56;22,53;22,9;24,03;30,35;37,24;;;;0;;10,22;25,11;39,6;93,1;22,85;0;3,49;;
27/04/18;18,04;22,22;22,71;23,9;30,3;37,29;;;;0;;12,72;24,5;48,2;97,6;12,93;0;2,3;;
28/04/18;17,48;21,86;22,47;23,73;30,2;37,33;;;;0,25;;9,83;24,22;33,2;99,2;13,73;0,14;2,42;;
29/04/18;17,13;21,65;22,19;23,52;30,03;37,3;;;;0;;12,67;28,83;32,1;90,6;25,79;0,32;4,34;;
30/04/18;16,63;21,4;22,02;23,42;29,99;37,4;;;;0;;13,17;23,28;56,3;90,6;23,35;0,57;3,84;;
01/05/18;16,21;21,14;21,72;23,24;29,91;37,43;;;;0;;12,72;23,67;57,5;98,8;23,19;0,33;3,78;0,65;0,14
02/05/18;15,8;20,93;21,46;23,07;29,86;37,48;;;;3,05;;16,67;27,17;39,3;93,9;12,97;2,1;3,78;;
03/05/18;17,88;20,86;21,1;22,82;29,75;37,48;;;;7,87;;14,33;19,39;56,9;90,7;10,19;0,27;1,97;;
04/05/18;23,52;21,77;20,65;22,48;29,52;37,35;;;;0;;15,22;20,89;57,5;79;14,14;0,88;2,79;;
05/05/18;24,57;22,87;20,35;22,2;29,31;37,21;;;;3,81;;11,94;21,72;57,4;96,8;16,53;0,22;2,79;;
06/05/18;23,13;22,5;20,24;22,05;29,2;37,15;;;;0;;11,61;21,94;63;98,7;24,67;0,04;3,84;;
07/05/18;21,89;21,85;20,11;21,89;29,13;37,14;;;;0;;10,78;21,94;56,6;99,7;27,43;0,16;4,16;;
08/05/18;20,92;21,26;19,95;21,74;29,05;37,15;;;;0;;11,78;21,72;55,6;98,7;13,21;0,37;2,42;;
09/05/18;20,15;20,74;19,71;21,48;28,89;37,08;;;;0,25;;10;21,56;59,3;99,9;28,39;0,28;4,26;;
10/05/18;19,53;20,48;19,67;21,37;28,83;37,09;;;;0;;13,56;22,72;60,5;97,8;23,89;0,47;3,91;;
11/05/18;18,86;20,22;19,58;21,25;28,79;37,17;;;;0;;12,72;23,17;61,6;99,5;28,5;0,3;4,52;0,67;0,17
12/05/18;18,25;20,02;19,52;21,13;28,73;37,22;;;;0,25;;12,28;23,78;59,6;99,4;28,29;0,05;4,49;;
13/05/18;17,7;19,87;19,47;21,02;28,69;37,29;;;;0;;12,56;25,44;53,1;97,6;28,55;0,16;4,64;0,69;0,14
14/05/18;16,91;19,59;19,38;20,88;28,62;37,38;;;;0;;12,56;20,22;50,7;87,7;8,92;0,66;2,05;;
15/05/18;16,26;19,26;19,13;20,51;28,37;37,27;;;;0;;10,56;21,94;43,1;97,1;16,41;0,09;2,73;;
16/05/18;15,65;19,05;18,98;20,29;28,18;37,18;;;;0;;9,33;21,28;42,6;91,6;22,2;0,16;3,41;0,66;0,17
17/05/18;15,25;18,91;18,84;20,08;27,99;37,08;;;;0;;10,5;23,44;54,2;98;25,43;0,04;4,01;;
18/05/18;21,85;20,74;18,91;20,06;27,91;37,08;;;;12,7;;16,67;23,5;62,1;97,3;10,41;0;2,07;;
19/05/18;23,97;21,47;18,97;20,06;27,88;37,13;;;;0;;16,72;22,94;67,7;94,7;18,11;0;3,2;;
20/05/18;22,46;20,62;18,92;19,96;27,8;37,14;;;;0;;15,06;25,06;62,8;98,6;20,35;0;3,57;;
21/05/18;21,51;20,11;18,93;19,91;27,72;37,16;;;;0;;16,33;26,44;52,8;99,7;18,49;0;3,35;;
22/05/18;22,68;21,63;20,19;20,29;27,77;37,27;;;;11,68;;15,89;25,44;56,4;98,2;22,2;0,21;3,92;;
23/05/18;26,2;25,81;22,77;20,55;27,55;37,2;;;;0,25;;15,44;25,33;44,5;97,3;24,5;0,47;4,3;0,67;0,16
24/05/18;24,03;24,25;21,21;19,9;27,38;37,15;;;;0;;13,11;24,06;59,6;97,9;27,62;0,43;4,55;;
25/05/18;22,88;23,24;20,31;19,68;27,28;37,14;;;;0;;13,61;24,22;59,6;98,4;27,42;0;4,51;;
26/05/18;21,91;22,36;19,73;19,58;27,2;37,14;;;;0;;14,06;25,83;61,2;98,9;27,29;0;4,63;0,71;0,15
27/05/18;20,99;21,62;19,37;19,54;27,15;37,22;;;;0;;16,5;29,17;44,7;99,5;27,47;0,07;4,87;;
28/05/18;20,03;20,94;19,11;19,49;27,08;37,3;;;;0;;16,61;29,11;42,8;97,9;22,75;0,2;4,2;;
29/05/18;19,14;20,47;19,01;19,49;27,02;37,4;;;;0;;18,83;29,17;30,1;94,2;20,19;0,08;3,74;;
30/05/18;18,13;20;18,86;19,43;26,92;37,48;;;;0;;18,56;27,89;30;93,1;26,96;0,25;4,78;;
31/05/18;17,31;19,64;18,72;19,31;26,78;37,5;;;;0;;15,44;27,22;56,3;97;27,01;0,28;4,77;0,70;0,10
01/06/18;16,61;19,37;18,63;19,22;26,66;37,53;;;;0;;17,44;28,83;51;98,9;25,82;0;4,66;;
02/06/18;15,99;19,15;18,51;19,11;26,52;37,52;;;;0;;15,89;31;32,9;95,7;26,81;0;4,69;0,58;0,07
03/06/18;15,42;19,02;18,49;19,07;26,45;37,56;;;;0;;16,83;31,94;37,8;92,6;25,97;0,07;4,75;;
04/06/18;14,78;18,83;18,42;19,01;26,39;37,6;;;;0;;16;29,83;38,5;94,7;20,98;0,21;3,96;;
05/06/18;14,28;18,72;18,35;18,93;26,29;37,6;;;;0;;16,22;27,67;55,7;95,8;25,32;0,48;4,65;;
06/06/18;13,71;18,6;18,26;18,85;26,19;37,58;;;;0;;15,78;28;50,3;99;27,21;0,09;4,8;;
07/06/18;13,44;18,65;18,24;18,8;26,09;37,54;;;;0;;19,33;29,11;53,5;96;25,35;0;4,7;;
08/06/18;12,99;18,65;18,3;18,84;26,1;37,59;;;;0;;17,83;27,33;44,5;97,1;24,06;1,24;4,81;;
09/06/18;12,45;18,42;18,15;18,73;26,02;37,56;;;;0;;17,28;28,67;44;91,3;26,42;0,43;4,89;;
10/06/18;12,11;18,31;18,07;18,64;25,92;37,48;;;;0;;16,67;30,83;33;97,9;28,36;0;4,98;;
11/06/18;11,8;18,34;18,1;18,93;27,86;38,11;;;;0;9,3;16,22;29,94;33,3;88,1;26,72;0,14;4,73;;
12/06/18;11,61;18,42;18,23;19,9;30,08;38,97;;;;0;;18,56;28,94;57,4;97,9;26,5;0;4,9;;
13/06/18;11,36;18,4;18,29;20,09;29,89;39,07;;;;0;;16,89;29,56;33,6;95,4;22,68;0,87;4,69;;
14/06/18;11,23;18,17;18,2;20;29,6;39,06;;;;10,67;;19,17;24,44;52;89,9;19,88;0,6;3,81;;
15/06/18;22,23;18,23;17,9;19,67;29,14;38,81;;;;7,87;;18,89;26,89;54,4;90,2;18,56;0,92;3,86;0,42;0,08
16/06/18;20,38;18,12;17,92;19,56;28,8;38,61;;;;0;;16,94;27,94;48,5;93,5;26,4;0,8;4,99;;
17/06/18;18,63;18,18;18;19,53;28,57;38,54;;;;0;;17,33;27,94;51,3;93,5;28,72;0,53;5,24;;
18/06/18;17,32;18,21;18,05;19,47;28,34;38,49;;;;0;;16,56;28,06;47,6;92,2;27,23;0,33;4,91;;
