;Day;NDWI
0;29/03/2018;0,21
1;30/03/2018;0,486359641
2;31/03/2018;0,36027105
3;01/04/2018;0,14
4;02/04/2018;0,229571873
5;03/04/2018;0,171586292
6;04/04/2018;0,214989193
7;05/04/2018;0,217143756
8;06/04/2018;0,29
9;07/04/2018;0,254196309
10;08/04/2018;0,25
11;09/04/2018;0,309898333
12;10/04/2018;0,366117394
13;11/04/2018;0,229510875
14;12/04/2018;0,201755085
15;13/04/2018;0,2
16;14/04/2018;0,341628679
17;15/04/2018;0,250108758
18;16/04/2018;0,185355123
19;17/04/2018;0,231567728
20;18/04/2018;0,269573583
21;19/04/2018;0,142125654
22;20/04/2018;0,166862987
23;21/04/2018;0,155267592
24;22/04/2018;0,103393846
25;23/04/2018;0,11
26;24/04/2018;0,096941445
27;25/04/2018;0,133188397
28;26/04/2018;0,142077144
29;27/04/2018;0,187937579
30;28/04/2018;0,174969067
31;29/04/2018;0,126085696
32;30/04/2018;0,116649456
33;01/05/2018;0,07
34;02/05/2018;0,134946423
35;03/05/2018;0,216105167
36;04/05/2018;0,14955655
37;05/05/2018;0,214041322
38;06/05/2018;0,14615036
39;07/05/2018;0,116533762
40;08/05/2018;0,235052677
41;09/05/2018;0,095334113
42;10/05/2018;0,132196619
43;11/05/2018;0,08
44;12/05/2018;0,080843856
45;13/05/2018;0,09
46;14/05/2018;0,25546565
47;15/05/2018;0,184861323
48;16/05/2018;0,15
49;17/05/2018;0,114951013
50;18/05/2018;0,169963999
51;19/05/2018;0,136666987
52;20/05/2018;0,139988836
53;21/05/2018;0,128844171
54;22/05/2018;0,13017182
55;23/05/2018;0,16
56;24/05/2018;0,141817857
57;25/05/2018;0,106160223
58;26/05/2018;0,14
59;27/05/2018;0,091742385
60;28/05/2018;0,123123971
61;29/05/2018;0,11331729
62;30/05/2018;0,085104609
63;31/05/2018;0,06
64;01/06/2018;0,087624812
65;02/06/2018;0,1
66;03/06/2018;0,095240103
67;04/06/2018;0,114613061
68;05/06/2018;0,087007172
69;06/06/2018;0,074941991
70;07/06/2018;0,071475272
71;08/06/2018;0,102908877
72;09/06/2018;0,075827426
73;10/06/2018;0,043427477
74;11/06/2018;0,062992623
75;12/06/2018;0,077484568
76;13/06/2018;0,054697575
77;14/06/2018;0,098053859
78;15/06/2018;0,1
79;16/06/2018;0,116588799
80;17/06/2018;0,096513469
81;18/06/2018;0,106754121
82;19/06/2018;0,109114138
83;20/06/2018;0,101433542
84;21/06/2018;0,13125175
85;22/06/2018;0,103404032
86;23/06/2018;0,107234226
87;24/06/2018;0,083130807
88;25/06/2018;0,15
89;26/06/2018;0,192215884
90;27/06/2018;0,1
91;28/06/2018;0,122144223
92;29/06/2018;0,107154839
93;30/06/2018;0,08
94;01/07/2018;0,089963029
95;02/07/2018;0,13
96;03/07/2018;0,103204221
97;04/07/2018;0,100119033
98;05/07/2018;0,13
99;06/07/2018;0,101287328
100;07/07/2018;0,109975578
101;08/07/2018;0,092606909
102;09/07/2018;0,100814703
103;10/07/2018;0,119596165
104;11/07/2018;0,106159162
105;12/07/2018;0,105038003
106;13/07/2018;0,070939089
107;14/07/2018;0,066964945
108;15/07/2018;0,089002782
109;16/07/2018;0,066426023
110;17/07/2018;0,084189093
111;18/07/2018;0,095463339
112;19/07/2018;0,117182103
113;20/07/2018;0,110270018
114;21/07/2018;0,061257441
115;22/07/2018;0,031980118
116;23/07/2018;0,037098094
117;24/07/2018;0,059172675
118;25/07/2018;0,03
119;26/07/2018;0,073837563
120;27/07/2018;0,077778739
121;28/07/2018;0,07696312
122;29/07/2018;0,048656161
123;30/07/2018;0,098613958
124;31/07/2018;0,084730215
125;01/08/2018;0,086309348
126;02/08/2018;0,0532949
127;03/08/2018;0,087452989
128;04/08/2018;0,144648906
129;05/08/2018;0,244599428
130;06/08/2018;0,200178691
131;07/08/2018;0,152246491
132;08/08/2018;0,195552817
133;09/08/2018;0,117559956
134;10/08/2018;0,083737739
135;11/08/2018;0,061197172
136;12/08/2018;0,057532034
137;13/08/2018;0,089566313
138;14/08/2018;0,090708794
139;15/08/2018;0,176815253
140;16/08/2018;0,114497442
141;17/08/2018;0,099509694
142;18/08/2018;0,103684317
143;19/08/2018;0,082823274
144;20/08/2018;0,218866735
145;21/08/2018;0,265500534
146;22/08/2018;0,247662809
147;23/08/2018;0,230466849
148;24/08/2018;0,280970496
149;25/08/2018;0,199358896
150;26/08/2018;0,201532112
151;27/08/2018;0,172649574
152;28/08/2018;0,158803639
153;29/08/2018;0,108583781
154;30/08/2018;0,100853308
155;31/08/2018;0,17
156;01/09/2018;0,138830917
157;02/09/2018;0,14407149
158;03/09/2018;0,19
159;04/09/2018;0,110838595
160;05/09/2018;0,08
161;06/09/2018;0,134549365
162;07/09/2018;0,083160874
163;08/09/2018;0,111274423
164;09/09/2018;0,160938758
165;10/09/2018;0,188167226
166;11/09/2018;0,121776884
167;12/09/2018;0,118888486
168;13/09/2018;0,230572287
169;14/09/2018;0,149477231
170;15/09/2018;0,121808328
171;16/09/2018;0,123914671
